,Item_Weight,Item_Visibility,Item_MRP,Low Fat,Regular,High,Medium,Small,Tier 1,Tier 2,Tier 3,Supermarket Type1,Supermarket Type2,Outlet_Identifier,Item_Type,Outlet_Establishment_Year,Item_Outlet_Sales_Prediction
0,20.75,0.007564836,107.8622,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,13.0,2.0,1833.7334796047949
5,9.8,0.063817206,117.1492,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1875.3300382977118
6,19.35,0.082601537,50.1034,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,14.0,4.0,489.0116540527215
13,4.785,0.092737611,122.3098,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,1.0,1992.7430913662702
14,16.75,0.021206464,52.0298,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,3.0,848.4531727657031
15,6.135,0.0794507,151.6366,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,10.0,4.0,2524.3063283858287
17,17.85,0.037980963,192.2188,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,4.0,2846.99721947
20,7.1,0.109920138,175.008,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,8.0,3.0,2833.7800686473624
21,19.2,0.182619235,239.9196,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,5.0,3.0,3915.116299181091
22,13.65,0.065630844,47.7402,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,13.0,1.0,743.3770461332319
24,19.2,0.035178935,180.7318,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,3082.1217918840043
26,13.0,0.035102094,47.6034,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,13.0,0.0,891.1547306616471
27,5.825,0.091485232,161.3894,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,2591.8746070515067
28,13.8,0.058102469,244.6802,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,3966.783923958105
29,12.8,0.022940349,116.5492,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,9.0,1.0,2029.0681011478127
31,9.5,0.022148582,194.9452,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,9.0,2.0,2943.250644553435
32,12.5,0.006792707,42.4112,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,376.17777928269015
40,21.1,0.029127115,143.3786,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,3.0,2031.9681532940185
43,15.35,0.015740089,144.847,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,2054.5054257615557
45,10.195,0.126277921,112.1886,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,4.0,1.0,1764.8950009251457
47,12.85,0.053433908,183.2608,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,3109.599465110426
48,12.15,0.131155007,248.146,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,4.0,4118.539280850819
49,18.25,0.075194929,124.9046,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1964.4815900928638
50,5.98,0.075557965,57.0614,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,13.0,2.0,896.6064842496635
51,12.65,0.122928415,106.6938,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,4.0,1665.6357063046498
55,7.855,0.011278673,188.8188,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3149.61052644219
56,13.35,0.0,179.666,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,3.0,3003.7061627172775
57,17.25,0.106952661,38.3822,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,5.0,3.0,545.8500619067072
60,8.315,0.035565457,144.8444,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,2476.2472062568554
